state;state_abbreviation;county;fips;party;candidate;votes;fraction_votes
Vermont;VT;Sutton;95000197;Republican;John Kasich;20;0.22699999999999998
Vermont;VT;Tunbridge;95000204;Republican;John Kasich;36;0.319
Vermont;VT;Weathersfield;95000220;Republican;Ted Cruz;46;0.111
Vermont;VT;Weston;95000228;Republican;John Kasich;32;0.47100000000000003
Vermont;VT;Whiting;95000233;Republican;Ben Carson;0;0.0
Vermont;VT;Whitingham;95000234;Republican;Donald Trump;52;0.39399999999999996
Vermont;VT;Williamstown;95000235;Republican;Donald Trump;130;0.359
Vermont;VT;Windham;95000238;Republican;Ben Carson;0;0.0
Vermont;VT;Windsor;95000239;Republican;Marco Rubio;62;0.215
Virginia;VA;Albemarle;51003;Democrat;Hillary Clinton;8284;0.545
Virginia;VA;Dinwiddie;51053;Democrat;Hillary Clinton;1935;0.833
Virginia;VA;Frederick;51069;Democrat;Hillary Clinton;2136;0.505
Virginia;VA;Nelson;51125;Democrat;Hillary Clinton;991;0.562
Virginia;VA;Page;51139;Democrat;Bernie Sanders;353;0.46
Virginia;VA;Poquoson;51735;Democrat;Hillary Clinton;295;0.465
Virginia;VA;Shenandoah;51171;Democrat;Hillary Clinton;958;0.505
Virginia;VA;Warren;51187;Democrat;Bernie Sanders;1007;0.514
Virginia;VA;Bland;51021;Republican;Ben Carson;73;0.069
Virginia;VA;Brunswick;51025;Republican;John Kasich;54;0.048
Virginia;VA;Charlotte;51037;Republican;Ben Carson;107;0.07200000000000001
Virginia;VA;Charlottesville;51540;Republican;John Kasich;526;0.18600000000000003
Virginia;VA;Charlottesville;51540;Republican;Marco Rubio;1344;0.475
Virginia;VA;Chesapeake;51550;Republican;Ben Carson;2173;0.076
Virginia;VA;Chesapeake;51550;Republican;Ted Cruz;4259;0.14800000000000002
Virginia;VA;Essex;51057;Republican;Ted Cruz;142;0.122
Virginia;VA;Fauquier;51061;Republican;Donald Trump;4888;0.361
Virginia;VA;Frederick;51069;Republican;Ben Carson;938;0.073
Virginia;VA;Galax;51640;Republican;Donald Trump;303;0.501
Virginia;VA;Goochland;51075;Republican;Donald Trump;1820;0.336
Virginia;VA;Henry;51089;Republican;Ben Carson;417;0.07200000000000001
Virginia;VA;Highland;51091;Republican;Donald Trump;164;0.418
Virginia;VA;King George;51099;Republican;Donald Trump;1437;0.36700000000000005
Virginia;VA;Loudoun;51107;Republican;Ben Carson;2235;0.043
Virginia;VA;Madison;51113;Republican;John Kasich;142;0.065
Virginia;VA;Middlesex;51119;Republican;Donald Trump;945;0.49200000000000005
Virginia;VA;Norton;51720;Republican;Ted Cruz;44;0.11699999999999999
Virginia;VA;Orange;51137;Republican;John Kasich;448;0.084
Virginia;VA;Petersburg;51730;Republican;Marco Rubio;188;0.264
Virginia;VA;Pulaski;51155;Republican;Ben Carson;337;0.081
Virginia;VA;Roanoke City;51770;Republican;Donald Trump;2583;0.34299999999999997
Virginia;VA;Rockingham;51165;Republican;Marco Rubio;3511;0.263
Virginia;VA;Russell;51167;Republican;John Kasich;80;0.026000000000000002
Virginia;VA;Shenandoah;51171;Republican;John Kasich;371;0.059000000000000004
Virginia;VA;Smyth;51173;Republican;Marco Rubio;703;0.21
Virginia;VA;Virginia Beach;51810;Republican;Ben Carson;3261;0.057999999999999996
Virginia;VA;Waynesboro;51820;Republican;John Kasich;230;0.081
Virginia;VA;Williamsburg;51830;Republican;Ted Cruz;148;0.096
Virginia;VA;Wise;51195;Republican;Donald Trump;2093;0.5670000000000001
Virginia;VA;Wise;51195;Republican;Marco Rubio;640;0.17300000000000001
Washington;WA;Douglas;53017;Democrat;Hillary Clinton;23;0.267
Washington;WA;Grays Harbor;53027;Democrat;Hillary Clinton;65;0.267
Washington;WA;Okanogan;53047;Democrat;Hillary Clinton;23;0.13
Washington;WA;Pend Oreille;53051;Democrat;Hillary Clinton;10;0.222
Washington;WA;Douglas;53017;Republican;John Kasich;256;0.068
Washington;WA;Snohomish;53061;Republican;Donald Trump;35474;0.752
Washington;WA;Snohomish;53061;Republican;Ted Cruz;5097;0.10800000000000001
Washington;WA;Spokane;53063;Republican;John Kasich;4299;0.086
Washington;WA;Yakima;53077;Republican;Donald Trump;14872;0.826
West Virginia;WV;Berkeley;54003;Democrat;Hillary Clinton;3591;0.44
West Virginia;WV;Grant;54023;Democrat;Hillary Clinton;168;0.42100000000000004
West Virginia;WV;Roane;54087;Democrat;Bernie Sanders;1002;0.529
West Virginia;WV;Hancock;54029;Republican;Ted Cruz;223;0.073
West Virginia;WV;Jackson;54035;Republican;Donald Trump;3585;0.757
West Virginia;WV;Kanawha;54039;Republican;Ted Cruz;1675;0.08900000000000001
West Virginia;WV;Mason;54053;Republican;Ted Cruz;254;0.077
West Virginia;WV;Monongalia;54061;Republican;John Kasich;943;0.109
West Virginia;WV;Preston;54077;Republican;John Kasich;254;0.048
West Virginia;WV;Randolph;54083;Republican;Donald Trump;2206;0.779
West Virginia;WV;Wirt;54105;Republican;John Kasich;45;0.078
West Virginia;WV;Wyoming;54109;Republican;Ted Cruz;101;0.055999999999999994
Wisconsin;WI;Adams;55001;Democrat;Bernie Sanders;1501;0.518
Wisconsin;WI;Calumet;55015;Democrat;Bernie Sanders;4010;0.568
Wisconsin;WI;Dunn;55033;Democrat;Bernie Sanders;4272;0.635
Wisconsin;WI;Jefferson;55055;Democrat;Hillary Clinton;4771;0.387
Wisconsin;WI;Kewaunee;55061;Democrat;Hillary Clinton;1495;0.47100000000000003
Wisconsin;WI;Manitowoc;55071;Democrat;Hillary Clinton;4983;0.434
Wisconsin;WI;Racine;55101;Democrat;Bernie Sanders;14651;0.508
Wisconsin;WI;Rock;55105;Democrat;Bernie Sanders;17337;0.605
Wisconsin;WI;Burnett;55013;Republican;Ted Cruz;1169;0.358
Wisconsin;WI;Menominee;55078;Republican;Ted Cruz;76;0.42
Wisconsin;WI;Waupaca;55135;Republican;Donald Trump;4737;0.429
Wyoming;WY;Laramie;95600036;Republican;Ted Cruz;141;0.653
Alabama;AL;Clarke;1025;Democrat;Hillary Clinton;3148;0.93
Alabama;AL;Madison;1089;Democrat;Hillary Clinton;19995;0.6859999999999999
Alabama;AL;St. Clair;1115;Democrat;Hillary Clinton;1808;0.693
Alabama;AL;Barbour;1005;Republican;Ted Cruz;609;0.179
Alabama;AL;Coffee;1031;Republican;John Kasich;377;0.036000000000000004
Alabama;AL;Colbert;1033;Republican;Donald Trump;3858;0.474
Alabama;AL;Dale;1045;Republican;Ben Carson;1150;0.125
Alabama;AL;Dallas;1047;Republican;Ben Carson;46;0.053
Alabama;AL;Etowah;1055;Republican;Donald Trump;8657;0.461
Alabama;AL;Fayette;1057;Republican;Ted Cruz;1043;0.21
Alabama;AL;Lee;1081;Republican;Marco Rubio;4734;0.225
Alabama;AL;Limestone;1083;Republican;Donald Trump;8198;0.43
Alabama;AL;Limestone;1083;Republican;Ted Cruz;4082;0.214
Alabama;AL;Marion;1093;Republican;Marco Rubio;921;0.139
Alabama;AL;Marshall;1095;Republican;Donald Trump;9115;0.495
Alabama;AL;Russell;1113;Republican;John Kasich;106;0.027999999999999997
Alabama;AL;St. Clair;1115;Republican;Donald Trump;8596;0.446
Alabama;AL;Sumter;1119;Republican;Ben Carson;21;0.075
Alabama;AL;Winston;1133;Republican;Donald Trump;3352;0.561
Alaska;AK;State House District 10;90200110;Democrat;Bernie Sanders;8;0.8
Alaska;AK;State House District 20;90200120;Democrat;Bernie Sanders;12;0.667
Alaska;AK;State House District 21;90200121;Democrat;Bernie Sanders;12;0.667
Alaska;AK;State House District 29;90200129;Democrat;Hillary Clinton;2;0.2
Alaska;AK;State House District 3;90200103;Democrat;Bernie Sanders;7;1.0
Alaska;AK;State House District 32;90200132;Democrat;Hillary Clinton;0;0.0
Alaska;AK;State House District 40;90200140;Democrat;Hillary Clinton;0;0.0
Alaska;AK;State House District 7;90200107;Democrat;Hillary Clinton;2;0.25
Alaska;AK;State House District 22;90200122;Republican;Ben Carson;52;0.08199999999999999
Alaska;AK;State House District 36;90200136;Republican;Donald Trump;246;0.376
Alaska;AK;State House District 4;90200104;Republican;Donald Trump;154;0.249
Alaska;AK;State House District 40;90200140;Republican;Ted Cruz;6;0.28600000000000003
Alaska;AK;State House District 9;90200109;Republican;Marco Rubio;129;0.122
Arizona;AZ;Coconino;4005;Democrat;Hillary Clinton;5738;0.441
Arizona;AZ;Coconino;4005;Republican;Ted Cruz;2843;0.335
Arizona;AZ;Graham;4009;Republican;John Kasich;202;0.053
Arizona;AZ;La Paz;4012;Republican;John Kasich;61;0.044000000000000004
Arkansas;AR;Ashley;5003;Democrat;Bernie Sanders;980;0.33799999999999997
Arkansas;AR;Lawrence;5075;Democrat;Bernie Sanders;726;0.386
Arkansas;AR;Logan;5083;Democrat;Bernie Sanders;361;0.282
Arkansas;AR;Madison;5087;Democrat;Bernie Sanders;1078;0.414
Arkansas;AR;Chicot;5017;Republican;Ben Carson;35;0.043
Arkansas;AR;Columbia;5027;Republican;Ben Carson;208;0.066
Arkansas;AR;Grant;5053;Republican;Marco Rubio;652;0.201
Arkansas;AR;Greene;5055;Republican;Ted Cruz;1709;0.285
Arkansas;AR;Izard;5065;Republican;Ted Cruz;628;0.302
Arkansas;AR;Logan;5083;Republican;Donald Trump;1208;0.365
Arkansas;AR;Mississippi;5093;Republican;Ben Carson;222;0.06
Arkansas;AR;Pike;5109;Republican;Marco Rubio;327;0.217
Arkansas;AR;Polk;5113;Republican;Donald Trump;1895;0.40299999999999997
Arkansas;AR;Polk;5113;Republican;John Kasich;155;0.033
Arkansas;AR;White;5145;Republican;Ben Carson;979;0.076
Arkansas;AR;Woodruff;5147;Republican;Ted Cruz;85;0.289
California;CA;Glenn;6021;Democrat;Hillary Clinton;649;0.491
California;CA;Mono;6051;Democrat;Hillary Clinton;755;0.449
California;CA;Placer;6061;Democrat;Hillary Clinton;17299;0.569
California;CA;Santa Cruz;6087;Democrat;Hillary Clinton;20105;0.442
California;CA;Sonoma;6097;Democrat;Bernie Sanders;42715;0.484
California;CA;Yolo;6113;Democrat;Bernie Sanders;11532;0.47600000000000003
California;CA;Colusa;6011;Republican;Ted Cruz;109;0.068
California;CA;Del Norte;6015;Republican;Donald Trump;1536;0.7859999999999999
California;CA;El Dorado;6017;Republican;Donald Trump;17651;0.795
California;CA;Lake;6033;Republican;Ted Cruz;209;0.073
California;CA;Marin;6041;Republican;Ted Cruz;596;0.062
California;CA;Mariposa;6043;Republican;John Kasich;195;0.078
California;CA;Merced;6047;Republican;Donald Trump;6712;0.792
California;CA;Mono;6051;Republican;Donald Trump;830;0.741
California;CA;Placer;6061;Republican;Ted Cruz;2212;0.068
California;CA;San Bernardino;6071;Republican;Ted Cruz;8165;0.094
California;CA;San Diego;6073;Republican;Donald Trump;124255;0.784
California;CA;Shasta;6089;Republican;John Kasich;1120;0.061
Colorado;CO;Bent;8011;Democrat;Bernie Sanders;24;0.444
Colorado;CO;Chaffee;8015;Democrat;Bernie Sanders;404;0.652
Colorado;CO;Phillips;8095;Democrat;Hillary Clinton;11;0.344
Colorado;CO;Pitkin;8097;Democrat;Hillary Clinton;349;0.45299999999999996
Connecticut;CT;Canaan;90900021;Democrat;Hillary Clinton;54;0.297
Connecticut;CT;Colchester;90900028;Democrat;Hillary Clinton;624;0.384
Connecticut;CT;Columbia;90900030;Democrat;Bernie Sanders;408;0.596
Connecticut;CT;Fairfield;90900051;Democrat;Bernie Sanders;2358;0.39899999999999997
Connecticut;CT;Griswold;90900058;Democrat;Bernie Sanders;549;0.601
Connecticut;CT;Marlborough;90900079;Democrat;Hillary Clinton;343;0.465
Connecticut;CT;Middletown;90900083;Democrat;Bernie Sanders;2858;0.526
Connecticut;CT;Newington;90900094;Democrat;Hillary Clinton;1631;0.485
Connecticut;CT;Seymour;90900124;Democrat;Hillary Clinton;397;0.38799999999999996
Connecticut;CT;Sharon;90900125;Democrat;Bernie Sanders;185;0.493
Connecticut;CT;Wolcott;90900166;Democrat;Bernie Sanders;514;0.552
Connecticut;CT;Barkhamsted;90900005;Republican;John Kasich;127;0.28300000000000003
Connecticut;CT;Bethany;90900008;Republican;John Kasich;138;0.231
Connecticut;CT;Bridgeport;90900015;Republican;Ted Cruz;215;0.17600000000000002
